Start Date,End Date,Pollster,Scope,Sample,L-NP,ALP,GRN,PHON,NXT,OTH,L-NP 2pp,ALP 2pp,L-NP_respondent_allocate_preferences,ALP_allocate_preferences,uncommitted,source
25/3/19,28/3/19,YouGov/Galaxy,NAT,2224,37,36,10,9,,,47,53,,,,
3/4/19,6/4/19,Ipsos,NAT,1200,37,34,13,,,,47,53,,,,
4/4/19,7/4/19,Newspoll,NAT,1799,38,37,9,6,,,48,52,,,,
4/4/19,8/4/19,Essential Research,NAT,1069,38,35,11,5,,,48,52,,,,
6/4/19,7/4/19,Roy Morgan,NAT,809,37,35,13.5,4,,,47.5,52.5,,,,
11/4/19,14/4/19,Newspoll,NAT,1697,39,39,9,4,,,48,52,,,5,
24/3/19,1/4/19,Roy Morgan,NAT,1477,38.5,37.5,11,3,,,49,51,,,,
26/4/19,28/4/19,Newspoll,NAT,2136,38,37,9,4,,,49,51,,,4,
20/4/19,21/4/19,Roy Morgan,NAT,707,39,35.5,9.5,4.5,,,49,51,,,,
23/4/19,25/4/19,YouGov/Galaxy,NAT,1002,37,37,9,4,,,48,52,,,,
25/4/19,29/4/19,Essential Research,NAT,1010,39,37,9,6,,,49,51,,,,
27/4/19,28/4/19,Roy Morgan,NAT,826,39.5,36,9.5,2.5,,,49,51,,,,
1/5/19,4/5/19,Ipsos,NAT,1207,36,33,14,5,,,48,52,,,,
2/5/19,5/5/19,Newspoll,NAT,1846,38,36,9,5,,,49,51,,,4,
2/5/19,6/5/19,Essential Research,NAT,1079,38,34,12,7,,,48,52,,,,
4/5/19,5/5/19,Roy Morgan,NAT,826,38.5,34,11,4,,,49,51,,,,
9/5/19,11/5/19,Newspoll,NAT,1644,39,37,9,4,,,49,51,,,4,
10/5/19,12/5/19,Roy Morgan,NAT,1265,38.5,35.5,10,4,,,48,52,,,,
10/5/19,14/5/19,Essential Research,NAT,1201,38.5,36.2,9.1,6.6,,,48.5,51.5,,,,
13/5/19,15/5/19,YouGov/Galaxy,NAT,1004,39,37,9,3,,,49,51,,,,
12/5/19,15/5/19,Ipsos,NAT,1842,39,33,13,4,,,49,51,,,,
15/5/19,16/5/19,Newspoll,NAT,3038,38,37,9,3,,,48.5,51.5,,,4,Factiva
11/5/17,11/5/17,ReachTEL,NAT,2369,34,30.5,9.7,9.8,,5.4,47,53,,,10.6,https://www.reachtel.com.au/blog/sky-news-national-poll-11may2017
3/3/18,11/3/18,Roy Morgan,NAT,1400,36,36,13.5,3,1.5,10,46,54,,,6.5,
17/3/18,25/3/18,Roy Morgan,NAT,1417,40,35,12,3.5,0.5,9,49,51,,,7,https://www.roymorgan.com/findings/7543-morgan-poll-federal-voting-intention-march-28-2018-201803270904
