date,fielding.start,fielding.end,pollster,sample,LNP,ALP,GRN,OTH,PUP,KAP,NXT,LNP2PP,ALP2PP,Uncommitted,source,LNP.uncommitted.included,ALP.uncommitted.included,GRN.uncommitted.included,OTH.uncommitted.included,PUP.uncommitted.included,KAP.uncommitted.included,NXT.uncommitted.included
10/8/14,8/8/14,11/8/14,Essential,1003.2,41,40,8,11,,,,48,52,,,,,,,,,
17/8/14,15/8/14,18/8/14,Essential,1018.6,39,37,10,14,,,,48,52,,,,,,,,,
21/8/14,21/8/14,21/8/14,ReachTEL,3555,41.1,37.3,9.8,4.9,4.7,,,49,51,,https://www.reachtel.com.au/blog/7-news-national-poll-21august2014,,,,,,,
23/8/14,22/8/14,24/8/14,Newspoll,1170,40,34,11,15,,,,49,51,6,Newspoll PDF,,,,,,,
24/8/14,22/8/14,25/8/14,Essential,986.7,40,38,9,13,,,,48,52,,,,,,,,,
24/8/14,16/8/14,24/8/14,Morgan,2691,37.5,38.5,10.5,9,4.5,,,44.5,55.5,2.5,http://www.roymorgan.com/findings/5751-morgan-poll-federal-voting-intention-august-25-2014-201408250538,,,,,,,
31/8/14,29/8/14,1/9/14,Essential,995.5,40,38,9,13,,,,48,52,,,,,,,,,
31/8/14,30/8/14,7/9/14,Morgan,3089,38,37,10.5,10,4.5,,,46,54,2,http://www.roymorgan.com/findings/5781-morgan-poll-federal-voting-intention-september-8-2014-201409080626,,,,,,,
6/9/14,5/9/14,7/9/14,Newspoll,1158,39,35,14,12,,,,48,52,9,Newspoll PDF,,,,,,,
7/9/14,5/9/14,8/9/14,Essential,957,38,38,11,13,,,,47,53,,,,,,,,,
14/9/14,12/9/14,15/9/14,Essential,952.6,39,38,11,12,,,,47,53,,,,,,,,,
14/9/14,13/9/14,21/9/14,Morgan,2922,38.5,37.5,12,8,4,,,45.5,54.5,2.5,http://www.roymorgan.com/findings/5824-morgan-poll-federal-voting-intention-september-22-2014-201409220753,,,,,,,
18/9/14,18/9/14,18/9/14,ReachTEL,3470,41.6,37.4,10.5,5.2,5.3,,,49,51,,https://www.reachtel.com.au/blog/7-news-national-poll-18september2014,,,,,,,
20/9/14,19/9/14,21/9/14,Newspoll,1152,41,34,11,14,,,,49,51,6,Newspoll PDF,,,,,,,
21/9/14,19/9/14,22/9/14,Essential,979,40,39,9,12,,,,48,52,,,,,,,,,
28/9/14,26/9/14,29/9/14,Essential,996.6,40,38,11,11,,,,48,52,,,,,,,,,
28/9/14,27/9/14,5/10/14,Morgan,3151,40,35,12,9.5,3.5,,,47,53,2,http://www.roymorgan.com/findings/5855-morgan-poll-federal-voting-intention-october-6-2014-201410060611,,,,,,,
1/10/14,4/10/14,5/10/14,Galaxy MM,1196,42,36,12,10,,,,49,51,,,,,,,,,
5/10/14,3/10/14,6/10/14,Essential,979,41,39,9,11,,,,48,52,,,,,,,,,
12/10/14,10/10/14,13/10/14,Essential,1006.5,41,39,10,10,,,,48,52,,,,,,,,,
12/10/14,11/10/14,19/10/14,Morgan,3131,39.5,35.5,12,9.5,3.5,,,48,52,2,http://www.roymorgan.com/findings/5881-morgan-poll-federal-voting-intention-october-20-2014-201410200517,,,,,,,
18/10/14,17/10/14,19/10/14,Newspoll,1161,38,34,14,14,,,,47,53,7,Newspoll PDF,,,,,,,
19/10/14,17/10/14,20/10/14,Essential,974.6,38,40,10,12,,,,47,53,,,,,,,,,
23/10/14,23/10/14,23/10/14,ReachTEL,3594,40.1,37.5,11.5,5.8,5.1,,,48,52,,https://www.reachtel.com.au/blog/7-news-national-poll-23october2014,,,,,,,
26/10/14,24/10/14,27/10/14,Essential,974.6,40,39,9,12,,,,48,52,,,,,,,,,
26/10/14,25/10/14,2/11/14,Morgan,3117,38.5,37.5,12.5,8.5,3,,,45.5,54.5,2.5,http://www.roymorgan.com/findings/5905-morgan-poll-federal-voting-intention-november-3-2014-201411030525,,,,,,,
1/11/14,30/10/14,1/11/14,Ipsos,1401,42,37,12,9,,,,49,51,,,,,,,,,
1/11/14,31/10/14,2/11/14,Newspoll,1175,38,36,13,13,,,,46,54,7,Newspoll PDF,,,,,,,
2/11/14,31/10/14,3/11/14,Essential,979,40,37,10,13,,,,49,51,,,,,,,,,
